indice_tiempo,smvm_mensual
2016-01-01,6060
2016-02-01,6060
2016-03-01,6060
2016-04-01,6060
2016-05-01,6060
2016-06-01,6060
2016-07-01,6060
2016-08-01,6060
2016-09-01,7560
2016-10-01,7560
2016-11-01,7560
2016-12-01,7560
2017-01-01,8060
2017-02-01,8060
2017-03-01,8060
2017-04-01,8060
2017-05-01,8060
2017-06-01,8060
2017-07-01,8860
2017-08-01,8860
2017-09-01,8860
2017-10-01,8860
2017-11-01,8860
2017-12-01,8860
2018-01-01,9500
2018-02-01,9500
2018-03-01,9500
2018-04-01,9500
2018-05-01,9500
2018-06-01,9500
2018-07-01,10000
2018-08-01,10000
2018-09-01,10700
2018-10-01,10700
2018-11-01,10700
2018-12-01,11300
2019-01-01,11300
2019-02-01,11300
2019-03-01,12500
2019-04-01,12500
2019-05-01,12500
2019-06-01,12500
2019-07-01,12500
2019-08-01,14125
2019-09-01,15625
2019-10-01,16875
2019-11-01,16875
2019-12-01,16875
2020-01-01,16875
2020-02-01,16875
2020-03-01,16875
2020-04-01,16875
2020-05-01,16875
2020-06-01,16875
2020-07-01,16875
2020-08-01,16875
2020-09-01,16875
2020-10-01,18900
2020-11-01,18900
2020-12-01,20587
2021-01-01,20587
2021-02-01,20587
2021-03-01,21600
2021-04-01,23544
2021-05-01,24408
2021-06-01,25272
2021-07-01,25920
2021-08-01,25920
2021-09-01,31104
2021-10-01,32000
2021-11-01,32000
2021-12-01,32000
2022-01-01,33000
2022-02-01,33000
2022-03-01,33000
2022-04-01,38940
2022-05-01,38940
2022-06-01,45540
2022-07-01,45540
2022-08-01,47850
2022-09-01,51200
2022-10-01,54550
2022-11-01,57900
2022-12-01,61953
2023-01-01,65427
2023-02-01,67743
2023-03-01,69500
2023-04-01,80342
2023-05-01,84512
2023-06-01,87987
2023-07-01,105500
2023-08-01,112500
2023-09-01,118000
2023-10-01,132000
2023-11-01,146000
2023-12-01,156000
2024-01-01,156000
2024-02-01,180000
2024-03-01,202800
2024-04-01,221052
2024-05-01,234315
2024-06-01,234315
2024-07-01,254232
2024-08-01,262433
2024-09-01,268057
2024-10-01,271571
2024-11-01,271571
2024-12-01,279718
2025-01-01,286711
2025-02-01,292446
2025-03-01,296832
2025-04-01,302600
2025-05-01,308200
2025-06-01,313400
2025-07-01,317800
2025-08-01,322000
2025-09-01,322000
2025-10-01,322000
2025-11-01,328400
2025-12-01,334800
2026-01-01,341000
2026-02-01,346800
2026-03-01,352400
2026-04-01,357800
2026-05-01,363000
2026-06-01,367800
